STT,Ngày,Mã,Tham chiếu,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Trung bình,Thay đổi giá(+/-),Thay đổi giá(%),KLGD khớp lệnh,GTGD khớp lệnh,KLGD thỏa thuận,GTGD thỏa thuận,KL Tổng giao dịch,GT Tổng giao dịch,Tổng giao dịch
336,07/05/2020,TRA,57,56,57.3,57.4,56,57,300,0.53,"6,000",342,0,0,"6,000",342,"2,375,116"
337,07/05/2020,TRC,27,27,27.95,28,27,27.37,950,3.52,"23,910",654,0,0,"23,910",654,"814,044"
338,07/05/2020,TS4,2.41,2.45,2.44,2.45,2.42,2.41,30,1.24,"17,350",42,0,0,"17,350",42,"39,166"
339,07/05/2020,TSC,2.35,2.36,2.33,2.36,2.29,2.31,-20,-0.85,"183,130",424,0,0,"183,130",424,"344,020"
340,07/05/2020,TTB,2.94,2.96,2.94,3,2.94,2.96,0,0,"215,110",637,0,0,"215,110",637,"137,671"
341,07/05/2020,TTE,13.9,13.9,13.9,13.9,13.9,0,0,0,0,0,0,0,0,0,"396,017"
342,07/05/2020,TTF,2.09,2.1,2.09,2.1,2.07,2.08,0,0,"1,039,280","2,161",0,0,"1,039,280","2,161","650,403"
343,07/05/2020,TV2,63.7,63.1,63,64.2,63,63.56,-700,-1.1,"60,450","3,839",0,0,"60,450","3,839","1,512,637"
344,07/05/2020,TVB,10.45,10.5,10.25,10.55,10.2,10.4,-200,-1.91,"378,540","3,937",0,0,"378,540","3,937","497,890"
345,07/05/2020,TVS,10.85,11,10.95,11,10.7,10.83,100,0.92,"38,130",414,0,0,"38,130",414,"986,865"
346,07/05/2020,TVT,19.25,19.25,20.1,20.2,19.25,20.59,850,4.42,340,7,0,0,340,7,"422,100"
347,07/05/2020,TYA,12.4,12.2,12.35,12.45,12.05,12.15,-50,-0.4,"108,730","1,321",0,0,"108,730","1,321","378,905"
348,07/05/2020,UDC,3.1,2.89,2.91,2.99,2.89,2.88,-190,-6.13,"7,300",21,0,0,"7,300",21,"100,994"
349,07/05/2020,UIC,38.95,40,39.9,40,38.55,39.14,950,2.44,"34,830","1,363",0,0,"34,830","1,363","319,200"
350,07/05/2020,VAF,4.91,4.91,4.91,4.91,4.91,0,0,0,0,0,0,0,0,0,"184,937"
351,07/05/2020,VCB,67.6,67.8,69.7,69.7,67.7,68.83,"2,100",3.11,"1,936,540","133,447","453,000","31,406","2,389,540","164,853","258,508,758"
352,07/05/2020,VCF,211.8,208.5,208.8,208.8,208.5,200,"-3,000",-1.42,50,10,0,0,50,10,"5,549,723"
353,07/05/2020,VCI,18.4,18.4,19,19,18.35,18.69,600,3.26,"393,280","7,362",0,0,"393,280","7,362","3,121,396"
354,07/05/2020,VDP,37.75,38,35.2,38,35.2,38.18,"-2,550",-6.75,"1,100",42,0,0,"1,100",42,"448,783"
355,07/05/2020,VDS,5.87,6.25,6.2,6.25,6.2,0,330,5.62,60,0,0,0,60,0,"620,619"
356,07/05/2020,VFG,37.85,39.4,37.55,39.4,37.55,0,-300,-0.79,20,1,0,0,20,1,"1,204,862"
357,07/05/2020,VGC,17.3,17.3,17.3,17.35,17,17.27,0,0,"434,920","7,513",0,0,"434,920","7,513","7,756,455"
358,07/05/2020,VHC,30,30.75,32.1,32.1,30.4,31.37,"2,100",7,"1,023,070","32,099","40,000","1,200","1,063,070","33,299","5,840,467"
359,07/05/2020,VHM,67,67.5,67.6,68,66.2,67.18,600,0.9,"1,474,450","99,103",0,0,"1,474,450","99,103","222,371,141"
360,07/05/2020,VIC,95,95,96,96,94,95.35,"1,000",1.05,"617,800","59,011",0,0,"617,800","59,011","324,713,337"
361,07/05/2020,VID,3.46,3.46,3.46,3.68,3.24,3.47,0,0,"13,930",48,0,0,"13,930",48,"97,136"
362,07/05/2020,VIP,4.4,4.4,4.46,4.54,4.4,4.48,60,1.36,"201,120",902,0,0,"201,120",902,"292,000"
363,07/05/2020,VIS,20.1,20.1,20.1,20.1,20.1,0,0,0,200,4,0,0,200,4,"1,483,991"
364,07/05/2020,VJC,112.1,112.2,115.2,115.2,112.2,113.17,"3,100",2.77,"413,820","46,918",0,0,"413,820","46,918","60,346,206"
365,07/05/2020,VMD,21.4,21,20.4,21,20.3,19.23,"-1,000",-4.67,260,5,0,0,260,5,"314,981"
366,07/05/2020,VND,10.9,10.9,11,11.05,10.8,10.94,100,0.92,"775,900","8,493",0,0,"775,900","8,493","2,294,219"
367,07/05/2020,VNE,4.29,4.52,4.59,4.59,4.31,4.56,300,6.99,"400,640","1,827",0,0,"400,640","1,827","376,077"
368,07/05/2020,VNG,13.3,13.3,13.3,13.35,12.9,13.05,0,0,"191,430","2,507",0,0,"191,430","2,507","1,293,779"
369,07/05/2020,VNL,14,14,14,14,14,0,0,0,0,0,0,0,0,0,"126,000"
370,07/05/2020,VNM,101.5,101.6,103.4,103.8,101.5,102.27,"1,900",1.87,"1,583,260","161,993","2,012,490","205,751","3,595,750","367,744","180,058,454"
371,07/05/2020,VNS,9.2,9.2,9.24,9.24,9.2,9.2,40,0.43,"6,080",56,0,0,"6,080",56,"627,019"
372,07/05/2020,VOS,1.36,1.36,1.36,1.36,1.34,1.35,0,0,"99,920",135,0,0,"99,920",135,"190,400"
373,07/05/2020,VPB,20.85,20.8,21.4,21.4,20.8,21.15,550,2.64,"3,376,550","71,452",0,0,"3,376,550","71,452","52,167,815"
374,07/05/2020,VPD,14.5,14,14.15,14.15,14,13.64,-350,-2.41,780,11,0,0,780,11,"1,508,243"
375,07/05/2020,VPG,17.95,17.95,16.7,17.95,16.7,16.73,"-1,250",-6.96,"2,930",49,0,0,"2,930",49,"441,713"
376,07/05/2020,VPH,3.61,3.6,3.61,3.7,3.6,3.65,0,0,"130,950",477,0,0,"130,950",477,"344,242"
377,07/05/2020,VPI,42.1,42.1,42.2,42.35,41.95,42.14,100,0.24,"678,330","28,583",0,0,"678,330","28,583","6,752,000"
378,07/05/2020,VPS,11.6,11.3,10.8,11.3,10.8,10.76,-800,-6.9,"4,370",47,0,0,"4,370",47,"264,177"
379,07/05/2020,VRC,5.97,5.97,5.9,5.97,5.81,5.85,-70,-1.17,"240,290","1,406",0,0,"240,290","1,406","295,000"
380,07/05/2020,VRE,25,25.1,24.8,25.2,24.65,24.82,-200,-0.8,"2,518,450","62,509",0,0,"2,518,450","62,509","56,353,497"
381,07/05/2020,VSC,27.15,27.15,26.9,28.2,26.9,27.44,-250,-0.92,"170,590","4,680",0,0,"170,590","4,680","1,482,803"
382,07/05/2020,VSH,17.6,17.65,17.85,18.8,17.6,17.66,250,1.42,"301,830","5,331",0,0,"301,830","5,331","3,681,406"
383,07/05/2020,VSI,24.25,24.25,24,24.25,24,28.57,-250,-1.03,70,2,0,0,70,2,"316,800"
384,07/05/2020,VTB,10.6,10.9,10.2,10.9,10.2,11.11,-400,-3.77,510,5,0,0,510,5,"110,206"
385,07/05/2020,VTO,7,7,7,7.1,6.96,7.07,0,0,"13,160",92,0,0,"13,160",92,"552,067"
386,07/05/2020,YBM,3.48,3.48,3.46,3.48,3.36,3.42,-20,-0.57,"2,380",8,0,0,"2,380",8,"49,478"
387,07/05/2020,YEG,53.5,54.9,54.7,55.2,54.1,54.9,"1,200",2.24,"31,100","1,708",0,0,"31,100","1,708","1,613,958"
